,name,Length,X1,X2,E,S,L
0,1atx_,46,839,21.2,-1.5007077689572241,-58.86589017894518,57.36518240998795
1,1agg_,48,851,22.2,-1.7972098025915306,-60.76701173283972,58.96980193024819
2,1akhA,49,925,22.4,-5.642586287062287,-53.350390214732705,47.70780392767042
3,1afp_,51,961,22.8,-5.542472227318085,-72.04955388517244,66.50708165785436
4,1apq_,53,946,25.3,-3.7196188891419646,-62.52238961634239,58.802770727200425
5,1atb_,62,1095,29.799999999999997,-0.8831266501253403,-74.72023229868029,73.83710564855495
6,1aiw_,62,1230,27.4,0.6934532476929872,-62.09268001066342,62.78613325835641
7,1a0aA,63,1107,30.3,-2.716938541231682,-62.58128460991513,59.864346068683446
8,1aho_,64,1217,29.000000000000004,-7.8532819642993035,-71.78126433732379,63.927982373024484
9,1a8o_,66,1214,30.900000000000002,-1.9829369127802017,-56.150955564673716,54.16801865189351
10,1ail_,70,1328,32.900000000000006,-1.8803482956078765,-59.56515881557014,57.68481051996227
11,1aw0_,72,1422,31.200000000000003,-8.22450258644521,-63.06090623250688,54.83640364606167
12,1afj_,72,1466,31.500000000000004,-6.562495215304649,-67.64016988175999,61.07767466645534
13,1apj_,74,1364,33.7,-7.164364689718216,-73.78356929721203,66.61920460749381
14,1adr_,76,1400,32.300000000000004,-1.0803791995307315,-58.53125352628008,57.45087432674935
15,1awj_,77,1496,34.30000000000001,-7.447048254650551,-65.6361649681658,58.18911671351525
16,1aoy_,78,1485,34.8,-11.847969788424471,-70.53897518287069,58.691005394446215
17,1am9A,80,1482,39.4,-2.3038105915827956,-72.86029790676106,70.55648731517826
18,1a1w_,83,1595,35.8,-12.501653578042315,-80.10692168934351,67.6052681113012
19,1a1iA,85,1521,41.599999999999994,-3.339969996017575,-89.02426473809847,85.6842947420809
20,1a32_,85,1536,40.1,-5.625508601395421,-73.16964897548041,67.54414037408499
21,1af8_,86,1522,38.800000000000004,-0.27132534105898787,-72.50059988107554,72.22927454001656
22,1a6s_,87,1703,36.900000000000006,-2.6744080166308155,-67.6672504786672,64.99284246203638
23,1agqA,91,1680,43.7,4.307056986024844,-71.63097706004106,75.93803404606591
24,1adn_,92,1587,42.1,-6.564665298828743,-78.48636135581967,71.92169605699092
25,1a4pA,92,1773,42.400000000000006,-6.0823734834388405,-74.33227159891214,68.2498981154733
26,1autL,97,1798,45.5,3.4203625718798145,-91.94551697542833,95.36587954730815
27,1abv_,105,1876,44.7,-9.02974841881963,-75.76146421688918,66.73171579806956
28,1aac_,105,2079,43.800000000000004,-9.636346564525248,-79.25361685523204,69.61727029070678
29,1a1x_,106,2027,47.3,-0.33796206307938487,-80.32930777698984,79.99134571391045
30,1acz_,108,2233,46.5,-13.172702903368954,-92.37668762219852,79.20398471882956
31,1a2pA,108,2100,45.900000000000006,-5.362739797396874,-70.03535874956215,64.67261895216528
32,1aqe_,110,2145,53.8,-0.20112237367232527,-94.99628201536852,94.7951596416962
33,1ac6A,110,2161,45.70000000000001,-14.960185127037173,-77.48200226823306,62.52181714119589
34,1a6f_,113,2122,48.1,-19.681175727846583,-84.65886767388034,64.97769194603376
35,1akjD,114,2263,48.60000000000001,-12.681043305470414,-82.63844838802618,69.95740508255577
36,1akp_,114,2187,54.0,4.682205706038847,-94.34755789635858,99.02976360239742
37,1auz_,116,2238,48.10000000000001,-5.483534411189602,-73.2041401470149,67.7206057358253
38,1aqcA,121,2245,53.0,-10.832155996336926,-76.87502923665039,66.04287324031347
39,1a62_,122,2270,52.6,-14.30336239599392,-78.07060821393938,63.76724581794546
40,1agi_,125,2288,53.800000000000004,-13.367731499174685,-84.25085138177836,70.88311988260368
41,1a7vA,125,2205,54.7,-9.794461499282372,-96.49636979777543,86.70190829849305
